Rank,Movie,ReleaseDate,Distributor,Genre,2022 Gross,Tickets Sold
10,Dreamland,Nicholas Sparks,Random House,9/20/22,,
1,Top Gun: Maverick,"May 27, 2022",Paramount Pictures,Action,"$715,755,567","78,054,042"
2,Doctor Strange in the Multi…,"May 6, 2022",Walt Disney,Action,"$411,331,607","44,856,227"
3,Jurassic World: Dominion,"Jun 10, 2022",Universal,Action,"$376,009,080","41,004,261"
4,The Batman,"Mar 4, 2022",Warner Bros.,Action,"$369,345,583","40,277,599"
5,Minions: The Rise of Gru,"Jul 1, 2022",Universal,Comedy,"$368,354,300","40,169,498"
6,Thor: Love and Thunder,"Jul 8, 2022",Walt Disney,Action,"$343,256,830","37,432,587"
7,Spider-Man: No Way Home,"Dec 17, 2021",Sony Pictures,Action,"$241,123,638","26,294,835"
8,Sonic the Hedgehog 2,"Apr 8, 2022",Paramount Pictures,Adventure,"$190,872,904","20,814,929"
9,Elvis,"Jun 24, 2022",Warner Bros.,Drama,"$151,040,048","16,471,106"
10,Uncharted,"Feb 18, 2022",Sony Pictures,Adventure,"$148,648,820","16,210,340"
11,Nope,"Jul 22, 2022",Universal,Horror,"$123,277,080","13,443,520"
12,Lightyear,"Jun 17, 2022",Walt Disney,Adventure,"$118,307,188","12,901,547"
13,The Lost City,"Mar 25, 2022",Paramount Pictures,Adventure,"$105,344,029","11,487,898"
14,Bullet Train,"Aug 5, 2022",Sony Pictures,Thriller/Suspense,"$103,096,865","11,242,842"
15,The Bad Guys,"Apr 22, 2022",Universal,Comedy,"$96,713,440","10,546,721"
16,Fantastic Beasts: The Secre…,"Apr 15, 2022",Warner Bros.,Adventure,"$95,850,844","10,452,654"
17,DC League of Super Pets,"Jul 29, 2022",Warner Bros.,Adventure,"$93,115,890","10,154,404"
18,Where the Crawdads Sing,"Jul 15, 2022",Sony Pictures,Drama,"$90,038,355","9,818,795"
19,The Black Phone,"Jun 24, 2022",Universal,Horror,"$89,887,230","9,802,315"
20,Sing 2,"Dec 22, 2021",Universal,Adventure,"$86,307,835","9,411,977"
21,Scream,"Jan 14, 2022",Paramount Pictures,Horror,"$81,641,405","8,903,097"
22,Morbius,"Apr 1, 2022",Sony Pictures,Action,"$73,793,072","8,047,227"
23,Smile,"Sep 30, 2022",Paramount Pictures,Horror,"$71,167,899","7,760,948"
24,Everything Everywhere All A…,"Mar 25, 2022",A24,Action,"$70,008,593","7,634,524"
25,Dog,"Feb 18, 2022",United Artists,Comedy,"$61,778,069","6,736,975"
26,The Woman King,"Sep 16, 2022",Sony Pictures,Action,"$59,746,217","6,515,399"
27,jackass forever,"Feb 4, 2022",Paramount Pictures,Reality,"$57,743,451","6,296,995"
28,Death on the Nile,"Feb 11, 2022",20th Century Studios,Drama,"$45,630,104","4,976,020"
29,Downton Abbey: A New Era,"May 20, 2022",Focus Features,Drama,"$43,896,550","4,786,973"
30,"Donât Worry, Darling","Sep 23, 2022",Warner Bros.,Thriller/Suspense,"$42,403,454","4,624,149"
31,Halloween Ends,"Oct 14, 2022",Universal,Horror,"$41,250,000","4,498,364"
32,Barbarian,"Sep 9, 2022",20th Century Studios,Horror,"$38,961,777","4,248,830"
33,The Northman,"Apr 22, 2022",Focus Features,Action,"$34,233,110","3,733,163"
34,Jujutsu Kaisen 0: The Movie,"Mar 18, 2022",FUNimation,Action,"$33,919,605","3,698,975"
35,The Bobâs Burgers Movie,"May 27, 2022",20th Century Studios,Comedy,"$31,933,830","3,482,424"
36,Beast,"Aug 19, 2022",Universal,Thriller/Suspense,"$31,846,530","3,472,904"
37,Dragon Ball Super: Super Hero,"Aug 19, 2022",Crunchyroll,Action,"$30,859,433","3,365,259"
38,Carnal Knowledge,"Jan 1, 1971",Avco Embassy,Drama,"$28,630,731","3,122,217"
39,The Invitation,"Aug 26, 2022",Sony Pictures,Horror,"$25,027,709","2,729,303"
40,Avatar,"Dec 18, 2009",20th Century Fox,Action,"$24,714,024","2,695,095"
41,"Lyle, Lyle, Crocodile","Oct 7, 2022",Sony Pictures,Musical,"$22,757,353","2,481,717"
42,Marry Me,"Feb 11, 2022",Universal,Romantic Comedy,"$22,438,180","2,446,911"
43,Ambulance,"Apr 8, 2022",Universal,Thriller/Suspense,"$22,309,115","2,432,836"
44,The Kingâs Man,"Dec 22, 2021",20th Century Studios,Action,"$20,917,649","2,281,095"
45,Father Stu,"Apr 13, 2022",Sony Pictures,Drama,"$20,740,439","2,261,770"
46,The Unbearable Weight of Ma…,"Apr 22, 2022",Lionsgate,Action,"$20,300,157","2,213,757"
47,Moonfall,"Feb 4, 2022",Lionsgate,Action,"$19,060,660","2,078,588"
48,Paws of Fury: The Legend of…,"Jul 15, 2022",Paramount Pictures,Adventure,"$17,811,382","1,942,353"
49,The 355,"Jan 7, 2022",Universal,Thriller/Suspense,"$14,570,455","1,588,926"
50,American Underdog: The Kurt…,"Dec 25, 2021",Lionsgate,Drama,"$14,301,214","1,559,565"
51,"RRR: Rise, Roar, Revolt","Mar 24, 2022",Sarigama Cinemas,Action,"$13,885,761","1,514,259"
52,Easter Sunday,"Aug 5, 2022",Universal,Comedy,"$13,013,690","1,419,159"
53,Jaws,"Jun 20, 1975",Universal,Horror,"$12,257,035","1,336,645"
54,Amsterdam,"Oct 7, 2022",20th Century Studios,Comedy,"$11,959,234","1,304,169"
55,X,"Mar 18, 2022",A24,Horror,"$11,769,469","1,283,475"
56,Bodies Bodies Bodies,"Aug 5, 2022",A24,Horror,"$11,446,602","1,248,266"
57,Licorice Pizza,"Nov 26, 2021",United Artists,Drama,"$10,935,116","1,192,488"
58,Bros,"Sep 30, 2022",Universal,Romantic Comedy,"$10,835,735","1,181,650"
59,Mrs. Harris Goes to Paris,"Jul 15, 2022",Focus Features,Drama,"$10,370,305","1,130,894"
60,West Side Story,"Dec 10, 2021",20th Century Studios,Musical,"$10,361,074","1,129,888"
